CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
1902103,CAYUGA ISD,CAYUGA ELEM.,5,INDEPENDENT,17750 N US HWY 287,TENNESSEE COLONY,75861,4.0,44.0,41.0,29.0
1903102,ELKHART ISD,ELKHART INTERME,5,INDEPENDENT,301 E PARKER ST,ELKHART,75839-9701,3.0,80.0,65.0,43.0
1904102,FRANKSTON ISD,FRANKSTON ELEM.,5,INDEPENDENT,100 PERRY ST,FRANKSTON,75763-0428,7.0,53.0,40.0,26.0
1906102,NECHES ISD,NECHES ELEM.,5,INDEPENDENT,3055 FM 2574,PALESTINE,75803,1.0,23.0,15.0,10.0
1907110,PALESTINE ISD,STORY INTERMEDI,5,INDEPENDENT,5300 S LOOP 256,PALESTINE,75801-2415,58.0,185.0,106.0,51.0
1908101,WESTWOOD ISD,WESTWOOD ELEM.,5,INDEPENDENT,2305 SALT WORKS RD,PALESTINE,75803-3955,43.0,82.0,38.0,22.0
1909101,SLOCUM ISD,SLOCUM PRE-K -,5,INDEPENDENT,5765 E STATE HWY 294,ELKHART,75839-9802,3.0,20.0,10.0,5.0
2901104,ANDREWS ISD,UNDERWOOD ELEM.,5,INDEPENDENT,316 SW 5TH ST,ANDREWS,79714-6905,97.0,220.0,134.0,74.0
3801103,PINEYWOODS COMM,SARAH STRINDEN,5,CHARTER,602 S RAGUET ST,LUFKIN,75904,5.0,77.0,54.0,35.0
3902102,HUDSON ISD,W.H. BONNER ELE,5,INDEPENDENT,536 FM 3258,LUFKIN,75904,7.0,203.0,164.0,121.0
3903120,LUFKIN ISD,ANDERSON ELEM.,5,INDEPENDENT,381 CHAMPION DR,LUFKIN,75901-7229,14.0,71.0,49.0,30.0
3903121,LUFKIN ISD,BRANDON ELEM.,5,INDEPENDENT,1612 SAYERS ST,LUFKIN,75904-2012,35.0,97.0,72.0,50.0
3903122,LUFKIN ISD,BROOKHOLLOW ELE,5,INDEPENDENT,1009 LIVE OAK LN,LUFKIN,75904-4245,23.0,82.0,46.0,28.0
3903123,LUFKIN ISD,COSTON ELEM.,5,INDEPENDENT,707 TRENTON,LUFKIN,75901-2497,12.0,74.0,51.0,38.0
3903129,LUFKIN ISD,SLACK ELEM.,5,INDEPENDENT,1305 FULLER SPRINGS DR,LUFKIN,75901-6515,44.0,100.0,58.0,35.0
3904102,HUNTINGTON ISD,HUNTINGTON INTE,5,INDEPENDENT,950 GIBSON,HUNTINGTON,75949-0328,12.0,113.0,67.0,40.0
3905103,DIBOLL ISD,H.G. TEMPLE INT,5,INDEPENDENT,1301 LUMBERJACK DR,DIBOLL,75941,26.0,117.0,61.0,33.0
3906101,ZAVALLA ISD,ZAVALLA ELEM.,5,INDEPENDENT,431 E MAIN ST,ZAVALLA,75980-0045,3.0,17.0,10.0,7.0
3907041,CENTRAL ISD,CENTRAL JR.H.,5,INDEPENDENT,7622 US HWY 69 N,POLLOK,75969-9710,24.0,81.0,44.0,23.0
4901101,ARANSAS COUNTY,FULTON LEARNING,5,INDEPENDENT,314 N 6TH ST,FULTON,78358-0907,71.0,163.0,97.0,62.0
5901101,ARCHER CITY ISD,ARCHER CITY ELE,5,INDEPENDENT,602 S ASH ST,ARCHER CITY,76351-0926,1.0,32.0,24.0,15.0
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,5,INDEPENDENT,751 COLLEGE AVE,HOLLIDAY,76366-0689,9.0,74.0,60.0,42.0
5904101,WINDTHORST ISD,WINDTHORST ELEM,5,INDEPENDENT,100 ST MARYS DR,WINDTHORST,76389-0190,1.0,27.0,19.0,15.0
6902101,CLAUDE ISD,CLAUDE ELEM.,5,,,,,0.0,29.0,21.0,16.0
7901041,CHARLOTTE ISD,CHARLOTTE M.S.,5,INDEPENDENT,95 ROSE BLVD,CHARLOTTE,78011-0489,14.0,21.0,10.0,5.0
7902101,JOURDANTON ISD,JOURDANTON ELEM,5,INDEPENDENT,200 ZANDERSON AVE,JOURDANTON,78026-3045,34.0,85.0,47.0,25.0
7904101,LYTLE ISD,LYTLE ELEM.,5,INDEPENDENT,11550 LAREDO,LYTLE,78052-1060,30.0,94.0,59.0,35.0
7905103,PLEASANTON ISD,PLEASANTON ELEM,5,INDEPENDENT,101 GRANT ST,PLEASANTON,78064-3028,85.0,172.0,85.0,47.0
7906102,POTEET ISD,POTEET INTERMED,5,INDEPENDENT,838 SCHOOL DRIVEE,POTEET,78065,29.0,91.0,63.0,32.0
8901102,BELLVILLE ISD,O'BRYANT INTERM,5,INDEPENDENT,414 S TESCH,BELLVILLE,77418-1599,25.0,106.0,65.0,39.0
8901105,BELLVILLE ISD,WEST END ELEM.,5,INDEPENDENT,7453 ERNST PKWY,INDUSTRY,78944-0099,1.0,27.0,16.0,12.0
8902102,SEALY ISD,SELMAN ELEM.,5,INDEPENDENT,1741 HWY 90 W,SEALY,77474-3400,24.0,93.0,55.0,37.0
8902104,SEALY ISD,SEALY ELEM.,5,INDEPENDENT,723 FM 2187,SEALY,77474,20.0,100.0,53.0,31.0
8903102,BRAZOS ISD,BRAZOS ELEM.,5,INDEPENDENT,9814 KIBLER ST,ORCHARD,77464-0030,21.0,45.0,20.0,10.0
8903103,BRAZOS ISD,PRAIRIE HARBOR,5,INDEPENDENT,7146 HWY 60,WALLIS,77485,,,,
9901101,MULESHOE ISD,MARY DESHAZO EL,5,INDEPENDENT,300 W 3RD,MULESHOE,79347-3499,33.0,70.0,38.0,21.0
10901001,MEDINA ISD,MEDINA SCHOOL,5,INDEPENDENT,ONE BOBCAT LN,MEDINA,78055-1470,4.0,16.0,11.0,5.0
10902101,BANDERA ISD,ALKEK ELEM.,5,INDEPENDENT,1798 HWY 173 S,BANDERA,78003-0727,14.0,74.0,52.0,31.0
10902102,BANDERA ISD,HILL COUNTRY EL,5,INDEPENDENT,6346 FM 1283,PIPE CREEK,78063,32.0,51.0,20.0,7.0
11901104,BASTROP ISD,BASTROP INTERME,5,INDEPENDENT,509 OLD AUSTIN HWY,BASTROP,78602-3717,104.0,315.0,220.0,132.0
11901108,BASTROP ISD,CEDAR CREEK INT,5,INDEPENDENT,151 VOSS PKWY,CEDAR CREEK,78612,106.0,309.0,185.0,94.0
11902101,ELGIN ISD,BOOKER T. WASHI,5,INDEPENDENT,510 MLK,ELGIN,78621-3032,49.0,72.0,28.0,12.0
11902102,ELGIN ISD,ELGIN ELEM.,5,INDEPENDENT,1005 W 2ND ST,ELGIN,78621-2038,43.0,59.0,31.0,12.0
11902103,ELGIN ISD,NEIDIG ELEM.,5,INDEPENDENT,13700 COUNTY LINE RD,ELGIN,78621,50.0,50.0,24.0,14.0
11904101,SMITHVILLE ISD,SMITHVILLE ELEM,5,INDEPENDENT,800 BISHOP ST,SMITHVILLE,78957-0479,36.0,100.0,60.0,37.0
11905101,MCDADE ISD,MCDADE ELEM.,5,INDEPENDENT,156 MARLIN ST,MCDADE,78650-0400,13.0,21.0,11.0,5.0
12901042,SEYMOUR ISD,SEYMOUR M.S.,5,INDEPENDENT,409 W IDAHO ST,SEYMOUR,76380-1650,3.0,44.0,28.0,12.0
13801101,ST. MARY'S ACAD,ST. MARY'S ACAD,5,CHARTER,410 N TYLER ST,BEEVILLE,78102,4.0,64.0,43.0,20.0
13901101,BEEVILLE ISD,R.A. HALL ELEM.,5,INDEPENDENT,1100 W HUNTINGTON,BEEVILLE,78102-2599,24.0,95.0,49.0,26.0
13901102,BEEVILLE ISD,FADDEN-MCKEOWN-,5,INDEPENDENT,100 T J PFEIL,BEEVILLE,78102-6998,39.0,72.0,26.0,12.0
13902101,PAWNEE ISD,PAWNEE ELEM. -,5,INDEPENDENT,6229 FM 798,PAWNEE,78145-0569,0.0,14.0,9.0,6.0
13903101,PETTUS ISD,PETTUS ELEM.,5,INDEPENDENT,500 N BEE ST,PETTUS,78146-1149,13.0,26.0,8.0,2.0
13905101,SKIDMORE-TYNAN,SKIDMORE-TYNAN,5,INDEPENDENT,325 BOBCAT TRAIL,SKIDMORE,78389,13.0,54.0,25.0,11.0
14803002,PRIORITY CHARTE,GEORGETOWN CHAR,5,CHARTER,302 SERENADA,GEORGETOWN,78628,1.0,4.0,1.0,1.0
14803003,PRIORITY CHARTE,COVE CHARTER AC,5,CHARTER,2205 FM 3046,COPPERAS COVE,76522,5.0,15.0,7.0,3.0
14803004,PRIORITY CHARTE,CEDAR PARK CHAR,5,CHARTER,201 BUTTERCUP CREEK BLVD,CEDAR PARK,78613,4.0,8.0,4.0,2.0
14803101,PRIORITY CHARTE,TEMPLE CHARTER,5,CHARTER,7177 AIRPORT RD,TEMPLE,76502,2.0,21.0,15.0,9.0
14804002,ORENDA CHARTER,NEW HORIZONS,5,CHARTER,850 FM 574 W,GOLDTHWAITE,76844,6.0,4.0,1.0,0.0
14804006,ORENDA CHARTER,GATEWAY COLLEGE,5,CHARTER,3360 WESTINGHOUSE RD,GEORGETOWN,78626,7.0,108.0,76.0,51.0
14804007,ORENDA CHARTER,NOLAN CREEK SCH,5,CHARTER,505 E AVE C,BELTON,76513,3.0,9.0,7.0,3.0
14804008,ORENDA CHARTER,KINGSLAND SCHOO,5,CHARTER,2112 W RANCH RD 1431,KINGSLAND,78639,8.0,11.0,3.0,1.0
14901101,ACADEMY ISD,ACAD. INTERMEDI,5,INDEPENDENT,107 S PONDALILY,LITTLE RIVER,76554,8.0,127.0,97.0,63.0
14902001,BARTLETT ISD,BARTLETT SCHOOL,5,INDEPENDENT,404 N ROBINSON,BARTLETT,76511-0170,5.0,22.0,11.0,3.0
14903102,BELTON ISD,LEON HEIGHTS EL,5,INDEPENDENT,1501 N MAIN,BELTON,76513,8.0,36.0,28.0,20.0
14903103,BELTON ISD,MILLER HEIGHTS,5,INDEPENDENT,1110 FAIRWAY DR,BELTON,76513,6.0,30.0,20.0,8.0
14903104,BELTON ISD,SOUTHWEST ELEM.,5,INDEPENDENT,611 S SAUNDERS,BELTON,76513,24.0,36.0,18.0,10.0
14903108,BELTON ISD,LAKEWOOD ELEM.,5,INDEPENDENT,11200 FM 2305,BELTON,76513,3.0,123.0,102.0,84.0
14903109,BELTON ISD,SPARTA ELEM.,5,INDEPENDENT,1800 SPARTA RD,BELTON,76513,4.0,86.0,69.0,51.0
14903111,BELTON ISD,JOE M. PIRTLE E,5,INDEPENDENT,714 S PEA RDG,TEMPLE,76502,10.0,103.0,67.0,50.0
14903116,BELTON ISD,TARVER ELEM.,5,INDEPENDENT,7949 STONEHOLLOW DR,TEMPLE,76502,5.0,117.0,83.0,55.0
14903117,BELTON ISD,HIGH POINT ELEM,5,INDEPENDENT,1635 STARLIGHT DR,TEMPLE,76502,20.0,98.0,64.0,45.0
14903118,BELTON ISD,CHISHOLM TRAIL,5,INDEPENDENT,1082 S WHEAT RD,BELTON,76513,17.0,108.0,59.0,36.0
14905101,HOLLAND ISD,HOLLAND ELEM.,5,INDEPENDENT,503 CROCKETT ST,HOLLAND,76534-0217,2.0,33.0,28.0,23.0
